# time step,ucb true rewards,random true rewards
910.0,0.549500,0.472200
911.0,0.548800,0.471700
912.0,0.548200,0.471200
913.0,0.547600,0.470700
914.0,0.547000,0.470200
915.0,0.546400,0.469700
916.0,0.545900,0.469100
917.0,0.545300,0.468600
918.0,0.544700,0.468100
919.0,0.544100,0.467600
920.0,0.543500,0.467100
921.0,0.542900,0.466600
922.0,0.542300,0.466100
923.0,0.541700,0.465600
924.0,0.541100,0.465100
925.0,0.540500,0.464600
926.0,0.540000,0.464100
927.0,0.539400,0.463600
928.0,0.538800,0.463100
929.0,0.538200,0.462600
930.0,0.537600,0.462100
931.0,0.537100,0.461600
932.0,0.536500,0.461100
933.0,0.535900,0.460600
934.0,0.535300,0.460100
935.0,0.534800,0.459600
936.0,0.534200,0.459100
937.0,0.533600,0.458600
938.0,0.533000,0.458100
939.0,0.532500,0.457700
940.0,0.531900,0.457200
941.0,0.531300,0.456700
942.0,0.530800,0.456200
943.0,0.530200,0.455700
944.0,0.529700,0.455200
945.0,0.529100,0.454800
946.0,0.528500,0.454300
947.0,0.528000,0.453800
948.0,0.527400,0.453300
949.0,0.526900,0.452800
950.0,0.526300,0.452400
951.0,0.525800,0.451900
952.0,0.525200,0.451400
953.0,0.524700,0.450900
954.0,0.524100,0.450500
955.0,0.523600,0.450000
956.0,0.523000,0.449500
957.0,0.522500,0.449000
958.0,0.521900,0.448600
959.0,0.521400,0.448100
960.0,0.520800,0.447600
961.0,0.520300,0.447200
962.0,0.519800,0.446700
963.0,0.519200,0.446300
964.0,0.518700,0.445800
965.0,0.518100,0.445300
966.0,0.517600,0.444900
967.0,0.517100,0.444400
968.0,0.516500,0.443900
969.0,0.516000,0.443500
970.0,0.515500,0.443000
971.0,0.514900,0.442600
972.0,0.514400,0.442100
973.0,0.513900,0.441700
974.0,0.513300,0.441200
975.0,0.512800,0.440800
976.0,0.512300,0.440300
977.0,0.511800,0.439900
978.0,0.511200,0.439400
979.0,0.510700,0.439000
980.0,0.510200,0.438500
981.0,0.509700,0.438100
982.0,0.509200,0.437600
983.0,0.508600,0.437200
984.0,0.508100,0.436700
985.0,0.507600,0.436300
986.0,0.507100,0.435800
987.0,0.506600,0.435400
988.0,0.506100,0.435000
989.0,0.505600,0.434500
